,Address,ProposedUseDescription,DecisionDate,Decision,CommunityName,Latitude,Longitude,Permit_category_new,CTrain,Year
14505,3411 1 ST NE,SEMI-DETACHED DWELLING,2017/05/05,Approval,HIGHLAND PARK,51.082663036599186,-114.06012711464884,House,False,2017
14506,729 15 ST NW,SINGLE DETACHED DWELLING,2017/01/13,Approval,HILLHURST,51.058690180039044,-114.09643127123869,House,True,2017
14507,1403 22 ST NW,SINGLE DETACHED DWELLING,2017/03/10,Approval,HOUNSFIELD HEIGHTS/BRIAR HILL,51.06420607598897,-114.11384414827486,House,True,2017
14508,1324 FRONTENAC AV SW,SINGLE DETACHED DWELLING,2017/01/06,Approval,UPPER MOUNT ROYAL,51.03032454497276,-114.09138225398277,House,False,2017
14509,52 TARARIDGE DR NE,SINGLE DETACHED DWELLING,2016/12/21,Approval,TARADALE,51.11317217993122,-113.94029401441212,House,False,2016
14510,78 ROYAL OAK GV NW,CONTEXTUAL SINGLE DETACHED DWELLING,2017/01/17,Approval,ROYAL OAK,51.15104372472639,-114.23288320578659,House,False,2017
14511,1942 MOUNTVIEW CR NE,BACKYARD SUITE,2017/05/18,Approval,WINSTON HEIGHTS/MOUNTVIEW,51.069336507949075,-114.0490436392632,Secondary_suite,False,2017
14513,4704 22 AV NW,SINGLE DETACHED DWELLING,2017/03/30,Approval,MONTGOMERY,51.07514799166362,-114.1562380150141,House,False,2017
14514,3331 UPTON PL NW,SINGLE DETACHED DWELLING,2017/01/11,Approval,UNIVERSITY HEIGHTS,51.073124760441075,-114.13565192959076,House,False,2017
14515,3208 27 ST SW,SINGLE DETACHED DWELLING,2017/01/19,Approval,RICHMOND,51.02640346882404,-114.12647298182232,House,False,2017
14516,820 JAMES MCKEVITT RD SW,SINGLE DETACHED DWELLING,2017/01/19,Approval,SHAWNEE SLOPES,50.922916045119685,-114.08607487570295,House,True,2017
14517,6519 36 AV NW,MULTI-RESIDENTIAL DEVELOPMENT,2017/09/29,Approval,BOWNESS,51.08558088546678,-114.18405670634978,Multi_unit,False,2017
14518,6 CORAL SPRINGS GD NE,SINGLE DETACHED DWELLING,2016/12/28,Approval,CORAL SPRINGS,51.1054827901615,-113.92451277045949,House,False,2016
